Strategy,Market,Total Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Total Trades,Final Capital
"Stochastic (14/3, 20/80)",trending_up,18.41022336786409,0.5975733874999722,-20.29829373492275,85.71428571428571,7,11841.02233678641
Moving Average (10/30),trending_up,-3.3322061210009455,0.011711684819241307,-24.69791038185398,25.0,8,9666.779387899905
"RSI (14, 30/70)",trending_up,-4.433235785058405,-0.005870049824119514,-25.240188708831806,66.66666666666666,6,9556.67642149416
MACD (12/26/9),trending_up,-13.690514976307986,-0.2444075046342058,-26.48510794766828,36.36363636363637,22,8630.948502369201
"Bollinger Bands (20, 2.0)",trending_up,-10.927154766701861,-0.27640257235092974,-30.936649615929014,60.0,5,8907.284523329814
"RSI (14, 30/70)",trending_down,-38.25366278501808,-0.8466529987109759,-47.2829659925478,50.0,6,6174.633721498192
"Bollinger Bands (20, 2.0)",trending_down,-38.57260096754682,-0.8536275742154877,-43.63710757289665,40.0,5,6142.739903245318
Moving Average (10/30),trending_down,-25.269710770293415,-0.870056322183404,-25.793079021598782,36.36363636363637,11,7473.028922970659
"Stochastic (14/3, 20/80)",trending_down,-44.779416040667385,-1.0672930506846166,-50.094941991754915,33.33333333333333,6,5522.058395933262
MACD (12/26/9),trending_down,-48.24443486535042,-1.5627115858159424,-52.25694941265752,20.833333333333336,24,5175.556513464958
Moving Average (10/30),volatile,61.35253917175832,0.7624380940288834,-42.37402682344727,16.666666666666664,6,16135.253917175833
"Stochastic (14/3, 20/80)",volatile,-58.868783411545664,-0.47853697514974564,-65.59261924630763,66.66666666666666,6,4113.121658845434
MACD (12/26/9),volatile,-66.02463691800436,-0.6486875808860398,-73.6924723246422,21.73913043478261,23,3397.5363081995642
"Bollinger Bands (20, 2.0)",volatile,-61.7099807195885,-0.6649928060004948,-67.2286743705763,50.0,4,3829.001928041151
"RSI (14, 30/70)",volatile,-70.24464979125058,-0.7925719792491329,-71.91258769405627,40.0,5,2975.5350208749423
MACD (12/26/9),cyclical,321.89952732375974,4.486904822879966,-5.828984124543699,100.0,11,42189.952732375976
Moving Average (10/30),cyclical,-19.458949618999142,-0.581365667330861,-26.271089858759446,0.0,9,8054.105038100086
"Stochastic (14/3, 20/80)",cyclical,-25.97925268989923,-0.7503908258914979,-33.77526744412249,10.0,10,7402.074731010077
"Bollinger Bands (20, 2.0)",cyclical,-26.016012049277627,-0.7738579222216674,-33.1510558807007,0.0,10,7398.398795072238
"RSI (14, 30/70)",cyclical,-28.318407138676704,-0.872116352390791,-35.23140711527194,0.0,10,7168.15928613233
